request_id,name,credit_requested,requested_date,location
REQ-001-01,John,100000,2022-01-01,Boston
REQ-001-02,Jane,200000,2022-01-02,Dallas
REQ-001-03,Peter,1300000,2022-02-01,Houston
REQ-001-04,Bell,240000,2022-02-02,San Antonio
REQ-001-05,Graham,650000,2022-02-03,Denver
REQ-001-06,Kathy,1000000,2022-02-04,New York
REQ-001-07,Sally,200000,2022-02-05,Chicago
REQ-001-08,Walter,132000,2022-02-06,Los Angeles
REQ-001-09,Linda,740000,2022-02-07,Seattle
REQ-001-10,Steve,150000,2022-02-08,Portland
REQ-002-01,Olivia,103200,2022-01-01,New Jersey
REQ-002-02,Margaret,12250,2022-01-01,Jacksonville
REQ-002-03,Sophia,3232002,2022-01-01,Kansas City
REQ-002-04,Isabella,12300,2022-01-01,Miami
REQ-002-05,Emma,23232,2022-01-01,Kentucky
REQ-002-06,Lincoln,98700733,2022-01-01,Fairfield
REQ-002-07,Abigail,12300,2022-01-01,Maryland
REQ-002-08,Jack,103200,2022-01-01,Utah
REQ-002-09,Owen,12300,2022-01-01,York
REQ-002-10,Lily,12300,2022-01-01,Ohio
